edge,score_ft,score_pt
input->a0.h15<v>,0.05834961,0.11425781
m1->a31.h10<k>,-0.08300781,-0.06640625
m1->a2.h30<k>,-0.045898438,-0.050048828
m1->a3.h10<k>,0.03466797,0.12207031
m1->a8.h0<k>,-0.040527344,0.095703125
m1->a3.h13<q>,0.07421875,-0.053222656
a0.h23->m0,-0.028564453,-0.036621094
m28->m31,-0.10058594,-0.08105469
input->a0.h22<k>,0.061523438,-0.12451172
m1->a2.h3<k>,0.037841797,0.032714844
m1->a3.h15<q>,0.1640625,-0.068359375
m30->a31.h6<q>,0.28710938,1.09375
m30->a31.h5<k>,0.265625,-0.15625
m29->logits,-0.16601562,-0.22167969
m1->a5.h8<q>,-0.041992188,-0.053222656
m1->a31.h15<k>,-0.050048828,-0.46679688
m1->a31.h24<k>,0.07861328,0.2734375
m18->logits,-0.29296875,-0.3203125
m1->a2.h21<q>,-0.052246094,-0.071777344
m30->a31.h29<k>,0.2421875,0.20898438
m30->a31.h6<k>,-0.07324219,-1.7421875
m30->m31,2.09375,6.96875
m23->m31,-0.08496094,-0.08935547
a0.h25->m2,0.029418945,0.036621094
m28->m29,0.06933594,0.040039062
m30->a31.h14<k>,-2.359375,-1.171875
m1->a3.h17<q>,-0.06933594,-0.06347656
m19->m31,-0.028564453,-0.07373047
m5->m31,0.05029297,0.04248047
m0->m1,-0.030151367,-0.16992188
a31.h24->logits,0.06591797,-0.21972656
m21->m31,-0.04345703,-0.04345703
