edge,score_1,score_2
m1->a17.h14<k>,-0.025756836,-1.257
m1->a3.h25<q>,0.1640625,2.57
m1->a8.h31<q>,-0.017944336,-1.885
m1->a4.h17<q>,0.2734375,5.484
m1->a6.h14<q>,0.07861328,-1.5205
m1->a12.h25<k>,0.17871094,0.5977
m1->a8.h7<q>,-0.028564453,1.083
m1->m5,0.06982422,-3.469
m1->m7,0.296875,-5.133
m1->a2.h18<k>,-0.07080078,1.093
m1->m15,-0.017944336,-0.9634
m1->m8,-0.20507812,-2.287
m1->a2.h16<q>,0.021728516,1.41
m1->a8.h26<k>,0.052734375,1.241
m1->m13,-0.033447266,-1.713
m1->a6.h1<q>,-0.08642578,-3.598
m1->a2.h15<q>,-0.07861328,3.584
m1->a3.h17<q>,0.03149414,-1.092
m1->a9.h13<q>,-0.033203125,-0.4277
m1->a7.h7<q>,0.060302734,2.227
m1->a6.h0<k>,0.02722168,0.733
m1->a24.h11<k>,-0.03112793,-2.805
m1->a6.h24<q>,0.03930664,0.524
m1->a2.h25<q>,0.04711914,-1.717
m1->a31.h16<k>,-0.020263672,-0.986
m1->a12.h4<k>,0.048339844,0.557
m1->a10.h27<q>,0.07080078,-0.9946
m1->a7.h13<q>,-0.04248047,-1.614
m1->a11.h6<q>,0.019042969,-0.5347
m1->a2.h13<k>,0.038085938,2.066
m1->a9.h17<q>,0.049072266,0.853
m18->logits,-0.020507812,-0.4792
m1->a9.h4<k>,-0.06982422,-1.412
m30->a31.h11<q>,0.031982422,-0.4976
m1->a8.h21<q>,-0.05908203,0.796
m1->a26.h26<k>,-0.08886719,-2.914
m1->a8.h3<q>,-0.060302734,-0.726
m1->a7.h2<q>,0.067871094,2.166
m1->a3.h15<q>,0.11621094,1.092
m1->a2.h5<q>,-0.026611328,0.8203
m1->a8.h9<q>,0.020996094,-0.921
m1->a4.h5<k>,-0.06982422,2.035
