edge,score_1,score_2
m1->m30,-0.5737,0.27929688
m1->a13.h12<q>,-0.536,0.08984375
a28.h17->logits,-0.4211,-0.111816406
m1->a4.h17<q>,5.484,-0.23828125
m1->a12.h31<q>,0.628,0.084472656
m1->a4.h18<q>,0.714,-0.16796875
m1->a4.h2<q>,0.606,-0.31445312
m1->a5.h28<k>,1.077,-0.059326172
m1->a3.h20<q>,-0.999,0.19628906
m1->a7.h2<q>,2.166,-0.20898438
m1->a3.h3<k>,0.543,-0.19628906
m1->a9.h4<k>,-1.412,-0.07519531
m1->a6.h27<q>,-1.291,-0.16796875
m1->a2.h26<q>,-2.076,0.18847656
m1->a5.h1<q>,-0.6763,0.26171875
m1->m19,-2.498,0.10546875
m1->a5.h23<q>,0.583,-0.10546875
m1->m13,-1.713,0.20019531
m1->a8.h16<q>,2.328,0.109375
m1->a2.h2<k>,3.082,-0.079589844
m1->a3.h25<q>,2.57,-0.10644531
m1->a8.h11<q>,1.989,0.25
m1->a3.h6<q>,0.7783,0.12890625
m1->a4.h12<q>,1.428,0.083984375
m1->a4.h22<k>,-0.606,-0.10058594
m1->a11.h11<q>,-0.754,0.12988281
