,mt_kde4,mt_tatoeba,qa_coqa,qa_squad,sentiment_sst2,sentiment_yelp
0,5.857616683328488e-05,0.0004047252241582228,6.465192455826795e-05,2.5504464360462844e-05,0.007541820056603637,0.0002119221546678068
1,0.006441418005142575,0.006507336998074566,0.008667425298262919,0.0056061410945403255,0.027383927303017076,0.00861246780157666
2,0.016423927227442577,0.019320293252967483,0.017923131107090696,0.011121238177729491,0.5126518430188298,0.016200414106860937
3,0.014835520221095029,0.023298809346888404,0.01933209648879706,0.011588513748138164,0.5177932316623628,0.016490817958401707
4,0.028298375293670647,0.032033033962070426,0.027644717665971198,0.018121193867700586,0.469132471755147,0.029474065325921353
5,0.06031093491226779,0.05847360416562874,0.04153807456284988,0.02637382940913079,0.45863251296803353,0.03799189634431965
6,0.09692093623714752,0.09798454643561848,0.05645478475547855,0.03785364915675013,0.4982403986342252,0.042007490998366814
7,0.1050457401815947,0.10179577456066907,0.0671974851342383,0.04048136416298797,0.48813922893255957,0.04374717287733796
8,0.18054032146465027,0.14080430010915726,0.0999147811601869,0.07074391580303194,0.46864840975962574,0.06014766945794686
9,0.20492172616824966,0.18344202058971856,0.11336890370934269,0.08417173366993662,0.469051854852587,0.06696164138615127
10,0.2507041706261225,0.2573306670435704,0.15608740989584471,0.11573785797460004,0.4471643594838678,0.07483207835233767
11,0.26320348321925846,0.20327917291200717,0.17894632870098576,0.11633462279685772,0.4792559238709508,0.0758739808754762
12,0.30585387239931144,0.25785842796321956,0.18763993881875646,0.11781361534027375,0.47938869673758744,0.07866492563829519
13,0.29773450796725226,0.27652233463362785,0.19333486566203645,0.11614228838356207,0.4779651595652104,0.07788130323984656
14,0.34466213993728156,0.3205235063983128,0.2496073762094601,0.15023843886097885,0.49867650819942355,0.09478880280628796
15,0.26749089199816806,0.24644410339184106,0.20711891307262692,0.11082542417803773,0.47837787135504184,0.06657832222350404
16,0.3139855835214257,0.23976593034574753,0.23323674874845887,0.13179432582342993,0.5179652738012375,0.07747132111573583
17,0.20728209751832757,0.17532617082586505,0.18716839724220333,0.10350849756854578,0.5336325568333269,0.06623116313596251
18,0.23152809947205238,0.15812704948475584,0.16311891763121816,0.08753603591234418,0.5319455284066498,0.05632223775435701
19,0.17764877472131038,0.17130897959112185,0.17331037273746908,0.08867319817654785,0.536144466623664,0.05261118526803324
20,0.18786747043370264,0.15974971705523783,0.1999117795634083,0.08079620026517653,0.5421154708415269,0.06415879435604432
21,0.18791394041094459,0.14427760453079827,0.16049948171479622,0.06935969835089048,0.5487354715913534,0.04817197942262277
22,0.1799908531029359,0.16036305340181567,0.18601203366997648,0.08426757289562369,0.552363541033119,0.056775840376212694
23,0.1171830737838172,0.08431671009020641,0.13963026222016195,0.05887244543293485,0.5553718376345933,0.04539360490278336
24,0.23829645366058683,0.26086012386193025,0.19815201650490055,0.08479837911319911,0.5480908758193255,0.07190827851707576
25,0.16856293895471025,0.20240839441830755,0.19987341982137874,0.07257106778037266,0.5643291595764457,0.06607835820876055
26,0.23983003636996725,0.243130064001889,0.23029590987949625,0.09217426461982535,0.5511012886837123,0.07317583751195338
27,0.1968937821753207,0.20431436523358568,0.1664132754737511,0.09186963225249198,0.5551559670083225,0.05894575795478881
28,0.21269042092142623,0.28496617033146326,0.2123798447067383,0.10728332572733047,0.5591153817623854,0.07797605862113412
29,0.27819957717554644,0.2686176409036852,0.3269209993968252,0.1390775322623085,0.5447657530196011,0.09986327046586661
30,0.399570898276288,0.4101190545095596,0.2626486657658824,0.17432196501642458,0.5434410236030818,0.08934572158264924
31,0.7382712454162539,0.6273190219048412,0.4834357973909936,0.31485649873036897,0.4439766397094353,0.19481072117341677
