,mt_kde4,mt_tatoeba,qa_coqa,qa_squad,sentiment_sst2,sentiment_yelp
0,1.239841714706272,1.2820378879085186,1.7476668604835872,7.468350649476052,1.4021833774447439,1.714576330324635
1,1.174334666132927,1.123823092728853,3.3008371546119455,9.57200946867466,1.5064872588217255,1.963494769949466
2,1.3129845542088152,1.2518753679469232,3.811771824732423,9.639355818927287,1.5303591812402007,2.3014487684145566
3,1.0540291172266005,0.9541535704024133,3.356669517382979,9.499712236821653,1.1629440888203681,1.7443608736433087
4,0.9869430462736637,0.9400358046777545,3.08788563132286,9.19749693363905,1.1206232497934252,1.4685330418497322
5,1.011877119485289,0.9933611497841774,2.99606386937201,9.007450103163722,1.0209715866390614,1.06174892549403
6,0.8747461485676469,0.8082047541439534,2.6757138839364054,8.719192633628843,0.8519390214886517,1.2933058875799182
7,0.8819034270383417,0.8452248502522708,2.3829858598113054,8.809604267477988,0.8988827212248001,0.7942774425214159
8,0.8652116888016463,0.8856246187165379,2.4438219950348135,8.687648056894542,0.7013327228976414,1.745740328365937
9,0.8007605303032325,0.7981231984309851,2.706834293752909,8.514862670600415,0.732729805735871,1.268631379129365
10,1.303966678380966,1.2802855554036796,3.2968300379812714,8.883781996741892,0.8326415465120225,1.3275280223786827
11,1.1297995510883632,1.0467742663621902,3.328053444251418,9.44286046952009,0.7735243652452484,0.9847386032296345
12,1.2902692335005852,1.2062171433307232,3.6625302806496616,8.972307191118597,0.8819238989596488,1.045825804574415
13,1.4773587689455598,1.332440120577812,3.983152333796024,9.823607018515467,0.7962469282210805,1.5140441012871448
14,1.4664631533063948,1.2159454720467329,3.7861704704910513,9.364304139614104,0.711905572147807,1.4723080704151654
15,1.0946797984465957,0.852333993986249,3.5480281787365686,8.054330001119524,0.6485710785828996,1.6753334083780647
